Date,Fans
2014-09-21T07:00:00+0000,10882261
2014-09-22T07:00:00+0000,10885564
2014-09-23T07:00:00+0000,10889411
2014-09-24T07:00:00+0000,10893185
2014-09-25T07:00:00+0000,10895961
2014-09-26T07:00:00+0000,10898368
2014-09-27T07:00:00+0000,10901285
2014-09-28T07:00:00+0000,10903733
2014-09-29T07:00:00+0000,10905878
2014-09-30T07:00:00+0000,10908141
2014-10-01T07:00:00+0000,10910451
2014-10-02T07:00:00+0000,10912943
2014-10-03T07:00:00+0000,10914556
2014-10-04T07:00:00+0000,10916645
2014-10-05T07:00:00+0000,10918971
2014-10-06T07:00:00+0000,10921054
2014-10-07T07:00:00+0000,10923059
2014-10-08T07:00:00+0000,10924942
2014-10-09T07:00:00+0000,10926189
2014-10-10T07:00:00+0000,10927902
2014-10-11T07:00:00+0000,10929557
2014-10-12T07:00:00+0000,10931225
2014-10-13T07:00:00+0000,10933282
2014-10-14T07:00:00+0000,10935411
2014-10-15T07:00:00+0000,10939949
2014-10-16T07:00:00+0000,10944673
2014-10-17T07:00:00+0000,10947809
2014-10-18T07:00:00+0000,10954884
2014-10-19T07:00:00+0000,10957596
2014-10-20T07:00:00+0000,10959889
2014-10-21T07:00:00+0000,10961947
2014-10-22T07:00:00+0000,10963892
2014-10-23T07:00:00+0000,10965553
2014-10-24T07:00:00+0000,10967143
2014-10-25T07:00:00+0000,10969153
2014-10-26T07:00:00+0000,10970886
2014-10-27T07:00:00+0000,10972700
2014-10-28T07:00:00+0000,10974382
2014-10-29T07:00:00+0000,10977470
2014-10-30T07:00:00+0000,10979976
2014-10-31T07:00:00+0000,10982141
2014-11-01T07:00:00+0000,10984430
2014-11-02T07:00:00+0000,10987613
2014-11-03T08:00:00+0000,10990610
2014-11-04T08:00:00+0000,10993816
2014-11-05T08:00:00+0000,10996461
2014-11-06T08:00:00+0000,10998425
2014-11-07T08:00:00+0000,10999863
2014-11-08T08:00:00+0000,11001979
2014-11-09T08:00:00+0000,11004247
2014-11-10T08:00:00+0000,11006326
2014-11-11T08:00:00+0000,11008544
2014-11-12T08:00:00+0000,11011105
2014-11-13T08:00:00+0000,11013166
2014-11-14T08:00:00+0000,11014997
2014-11-15T08:00:00+0000,11016884
2014-11-16T08:00:00+0000,11018935
2014-11-17T08:00:00+0000,11020621
2014-11-18T08:00:00+0000,11022388
2014-11-19T08:00:00+0000,11023820
2014-11-20T08:00:00+0000,11025495
2014-11-21T08:00:00+0000,11026815
2014-11-22T08:00:00+0000,11027865
2014-11-23T08:00:00+0000,11029294
2014-11-24T08:00:00+0000,11030491
2014-11-25T08:00:00+0000,11031717
2014-11-26T08:00:00+0000,11033527
2014-11-27T08:00:00+0000,11035246
2014-11-28T08:00:00+0000,11037031
2014-11-29T08:00:00+0000,11038389
2014-11-30T08:00:00+0000,11039879
2014-12-01T08:00:00+0000,11042869
2014-12-02T08:00:00+0000,11042316
2014-12-03T08:00:00+0000,11044263
2014-12-04T08:00:00+0000,11045725
2014-12-05T08:00:00+0000,11047062
2014-12-06T08:00:00+0000,11048202
2014-12-07T08:00:00+0000,11048735
2014-12-08T08:00:00+0000,11049775
2014-12-09T08:00:00+0000,11050705
2014-12-10T08:00:00+0000,11051645
2014-12-11T08:00:00+0000,11052580
2014-12-12T08:00:00+0000,11053616
2014-12-13T08:00:00+0000,11055221
2014-12-14T08:00:00+0000,11056840
2014-12-15T08:00:00+0000,11058169
2014-12-16T08:00:00+0000,11059211
2014-12-17T08:00:00+0000,11060412
2014-12-18T08:00:00+0000,11061336
2014-12-19T08:00:00+0000,11062181
2014-12-20T08:00:00+0000,11063065
2014-12-21T08:00:00+0000,11065038
2014-12-22T08:00:00+0000,11066922
2014-12-23T08:00:00+0000,11068123
2014-12-24T08:00:00+0000,11069247
2014-12-25T08:00:00+0000,11070369
2014-12-26T08:00:00+0000,11071681
2014-12-27T08:00:00+0000,11073284
2014-12-28T08:00:00+0000,11074904
2014-12-29T08:00:00+0000,11076612
2014-12-30T08:00:00+0000,11078448
2014-12-31T08:00:00+0000,11080129
2015-01-01T08:00:00+0000,11081791
2015-01-02T08:00:00+0000,11083690
2015-01-03T08:00:00+0000,11086065
